2	137021.2
7	137385
14	143660.2
21	131939.4
26	140879
30	134554.6
35	141827.8
41	135934
45	138139.6
49	130839.2
55	137481.2
58	134653.6
65	130625.8
68	140914.2
72	141558
76	133396.6
79	135449.6
84	129371.8
87	131242.8
91	143023
94	144354.2
97	133199.4
101	138705
105	137647.2
110	135951.8
115	129550
120	130210.2
126	135747.6
131	125072.4
135	127985.4
137	120041.8

2	154199
7	149277
14	180990
21	158401
26	151343
30	173034
35	164654
41	158745
45	165812
49	160775
55	148817
58	153789
65	148419
68	144911
72	146686
76	152923
79	143486
84	142370
87	158114
91	165744
94	143981
97	151931
101	142319
105	140051
110	141568
115	135515
120	138877
126	133666
131	138186
135	131182
137	125963


2	154229
7	178994
14	167820
21	150856
26	152155
30	152557
35	151155
41	159580
45	166693
49	161211
55	152943
58	144623
65	145916
68	147660
72	145639
76	145980
79	180175
84	150549
87	165657
91	163511
94	178897
97	146675
101	176471
105	176176
110	178588
115	149781
120	220495
126	156886
131	156018
135	143049
137	150558


2	157320
7	171017
14	172782
21	190272
26	173810
30	159486
35	232921
41	269779
45	176504
49	167779
55	191006
58	213974
65	203307
68	149819
72	171814
76	197866
79	167544
84	163106
87	168913
91	163614
94	158141
97	152573
101	146870
105	157017
110	151089
115	161972
120	171093
126	167857
131	157593
135	143598
137	142869

  2	169343
  7	202314
14	174383
21	180162
26	171742
30	166026
35	187183
41	180997
45	167872
49	244204
55	209372
58	181345
65	168783
68	167024
72	207302
76	170092
79	159231
84	169685
87	149490
91	160143
94	151969
97	145966
101	154629
105	153945
110	143002
115	144686
120	169028
126	147905
131	139432
135	147267
137	127790


  2	161245
  7	158880
14	191856
21	156502
26	166483
30	194991
35	147910
41	155844
45	160351
49	221970
55	158610
58	151046
65	162777
68	159303
72	154896
76	152690
79	143825
84	148947
87	154011
91	148704
94	162363
97	150671
101	140356
105	162160
110	162614
115	157535
120	157261
126	142069
131	172178
135	152576
137	139416


  2	165896
  7	216816
14	241730
21	191844
26	195340
30	214247
35	169287
41	175062
45	152826
49	155438
55	154288
58	149671
65	148275
68	154860
72	154917
76	150987
79	168761
84	162684
87	146989
91	155925
94	145078
97	152479
101	150409
105	160021
110	194377
115	185317
120	164397
126	152875
131	133227
135	145500
137	201831


  2	192370
  7	198841
14	163990
21	153376
26	165507
30	151408
35	159596
41	163465
45	154293
49	155967
55	145168
58	202097
65	148397
68	148152
72	151255
76	161476
79	157552
84	149152
87	147149
91	171113
94	154338
97	149324
101	152320
105	142010
110	149887
115	147192
120	139821
126	159705
131	141853
135	135005
137	127740


  2	150288
  7	164295
14	181565
21	165089
26	156597
30	172474
35	157506
41	152100
45	161842
49	151324
55	153046
58	155954
65	154745
68	155450
72	149131
76	147274
79	149854
84	150089
87	153546
91	150663
94	152387
97	150250
101	140958
105	156414
110	162895
115	141212
120	154974
126	148767
131	129061
135	134092
137	140060


  2	163373
  7	170236
14	167578
21	164577
26	157564
30	157996
35	153515
41	162572
45	152702
49	158038
55	156657
58	145924
65	153897
68	146101
72	155857
76	146742
79	153815
84	143656
87	143392
91	148702
94	163974
97	145542
101	160049
105	159585
110	145655
115	143414
120	139395
126	136909
131	139346
135	166088
137	143852


  2	172217
  7	187447
14	208409
21	169943
26	174024
30	158972
35	153938
41	153241
45	155667
49	235700
55	636969
58	551850
65	511364
68	475380
72	252624
76	351694
79	266351
84	218265
87	198297
91	175136
94	194576
97	207047
101	195140
105	163630
110	191632
115	180199
120	137605
126	146027
131	153806
135	146574
137	142151


  2	193474
  7	213078
14	294914
21	203145
26	187071
30	154373
35	157201
41	162754
45	159411
49	165376
55	152444
58	158555
65	160023
68	185018
72	159423
76	151271
79	156123
84	182681
87	155714
91	163915
94	149424
97	158354
101	160035
105	143576
110	140199
115	163976
120	154590
126	162523
131	132988
135	130685
137	132709


  2	159122
  7	174424
14	186727
21	155722
26	161317
30	162905
35	183887
41	179263
45	161923
49	159582
55	162812
58	158650
65	144633
68	146294
72	151014
76	148755
79	145892
84	142778
87	150705
91	158859
94	152677
97	154129
101	157331
105	153330
110	144971
115	139697
120	140903
126	143838
131	135268
135	134751
137	130952


  2	159108
  7	169791
14	167930
21	170538
26	155891
30	150317
35	160318
41	175799
45	169210
49	148946
55	158289
58	154735
65	151195
68	152107
72	147555
76	149522
79	149965
84	145691
87	141354
91	139485
94	160540
97	144302
101	146582
105	139573
110	144382
115	148920
120	136549
126	136312
131	140485
135	142689
137	125769


  2	167450
  7	169766
14	189515
21	166732
26	161355
30	154840
35	157606
41	156692
45	161384
49	159024
55	157562
58	153371
65	152231
68	151113
72	153547
76	159354
